175172,MANORCARE HEALTH SERVICES - TOPEKA,KS
175180,MANORCARE HEALTH SERVICES - OVERLAND P,KS
175180,MANORCARE HEALTH SERVICES - OVERLAND PARK,KS
175227,GOLDEN LIVINGCENTER - FREDONIA,KS
175241,SABETHA MANOR,KS
175294,MEDICALODGES GODDARD,KS
175301,WICHITA PRESBYTERIAN MANOR,KS
175306,MANOR OF THE PLAINS,KS
175332,OTTAWA RETIREMENT VILLAGE,KS
175401,BONNER SPRINGS NURSING & REHABILITATION CENTER,KS
175475,ENTERPRISE ESTATES NURSING CENTER,KS
175504,SPRING VIEW MANOR,KS
175509,SANDSTONE HEIGHTS,KS
185144,HOMESTEAD NURSING CENTER,KY
185399,HEARTLAND VILLA CARE AND REHABILITATIO,KY
185399,HEARTLAND VILLA CARE AND REHABILITATION CENTER,KY
185399,HEARTLAND VILLA CENTER,KY
185463,RICHMOND PLACE REHABILITATION AND HEAL,KY
195150,VILLA FELICIANA CHRONIC DISEASE,LA
195214,FERNCREST MANOR LIVING CENTER,LA
195408,HERITAGE MANOR SOUTH,LA
195451,MERRYVILLE REHABILITATION,LA
195490,FOREST MANOR NURSING HOME,LA
195493,KINDER RETIREMENT AND REHABILITATION C,LA
195510,RUSTON NURSING AND REHABILITATION CENT,LA
195532,TOWN AND COUNTRY NURSING CENTE,LA
195539,MANSFIELD NURSING CENTER,LA
195545,CLAIBORNE MANOR,LA
205080,GARDINER HEALTH CARE FACILITY,ME
205154,WOODLAWN REHAB & NURSING CENTE,ME
215054,MANORCARE HEALTH SERVICES -TOWSON,MD
215064,HEARTLAND HEALTH CARE CENTER - ADELPHI,MD
215064,MANORCARE HEALTH SYSTEM - ADELPHI,MD
215069,MANORCARE HEALTH SERVICES - DULANEY,MD
215077,MANORCARE HEALTH SERVICES - RUXTON,MD
215087,HAMILTON CENTER,MD
215095,MANORCARE HEALTH SERVICES - BETHESDA,MD
215109,MANORCARE HEALTH SERVICES - ROSSVILLE,MD
215171,MANORCARE HEALTH SERVICES - POTOMAC,MD
215224,MANORCARE HEALTH SERVICES  -SILVER SPR,MD
215224,MANORCARE HEALTH SERVICES  -SILVER SPRING,MD
215232,OAKLAND NURSING & REHABILITATION CENTE,MD
215277,WEST MD HEALTH SYST FROSTBURG NRSG AND,MD
215301,MANORCARE HEALTH SERVICES - ROLAND PAR,MD
215301,MANORCARE HEALTH SERVICES - ROLAND PARK,MD
215304,ASBURY SOLOMONS,MD
215330,FRANKFORD NURSING AND REHABILITATION C,MD
215347,MANORCARE HEALTH SERVICES - WOODBRIDGE VALLEY,MD
215347,MANORCARE HEALTH SERVICES - WOODBRIDGE,MD
225067,GOLDEN LIVING CENTER-WEDGEMERE,MA
225270,ESSEX PARK REHABILITATION AND NURSING,MA
225296,QUABBIN VALLEY HEALTHCARE,MA
225403,COLEMAN HOUSE,MA
225435,COLONY HOUSE NURSING & REHABILITATION,MA
225455,CRANEVILLE PLACE AT DALTON,MA
225545,COURTYARD NURSING CARE CENTER,MA
225589,SARAH BRAYTON NURSING CARE CTR,MA
225622,NEMASKET HEALTHCARE CENTER,MA
225723,HIGHLANDER REHABILITATION & NURSING CE,MA
225747,SOMERSET RIDGE,MA
225772,OUR ISLAND HOME,MA
235004,HEARTLAND HEALTH CARE CENTER-KNOLLVIEW,MI
235016,HEARTLAND HEALTH CARE CENTER-JACKSON,MI
235023,HEARTLAND HEALTH CARE CENTER-BATTLE CR,MI
