ccn_str,facility_name_reit_file,state,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_source_file
105609,HEARTLAND OF TAMARAC,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND OF TAMARAC,FL,151,,,63.03,19.33,0.4647058823529412,0.9373949579831934,2.7172268907563017,4.1193277310924366,facil2009new.xls
105609,HEARTLAND OF TAMARAC,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND OF TAMARAC,FL,151,,,63.03,19.33,0.4647058823529412,0.9373949579831934,2.7172268907563017,4.1193277310924366,facil2010new.xls
105609,HEARTLAND OF TAMARAC,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND OF TAMARAC,FL,151,,137.48,58.22,22.6,0.837,0.676,2.868,4.381,facility_2011.xls
105609,HEARTLAND OF TAMARAC,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND OF TAMARAC,FL,151,,135.14,43.36,23.08,0.514,1.378,2.574,4.466,facility_2012.xls
105609,HEARTLAND OF TAMARAC,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND OF TAMARAC,FL,151,,131.9,44.85,17.65,0.54,1.449,2.707,4.696,facility_2013.xls
105641,HEARTLAND HEALTH CARE CENTER KENDALL,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HEALTH CARE CENTER KENDALL,FL,120,,,42.24,30.17,0.35,0.9853448275862068,2.654741379310345,3.9900862068965512,facil2009new.xls
105641,HEARTLAND HEALTH CARE CENTER KENDALL,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER KENDALL,FL,120,,,38.53,37.61,0.5256880733944954,1.0747706422018348,3.1596330275229354,4.760091743119267,facil2010new.xls
105641,HEARTLAND HEALTH CARE CENTER KENDALL,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER KENDALL,FL,120,,114.24,32.48,29.06,0.52,0.851,2.85,4.221,facility_2011.xls
105641,HEARTLAND HEALTH CARE CENTER KENDALL,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER KENDALL,FL,120,,113.86,30.43,36.52,0.557,1.02,2.612,4.189,facility_2012.xls
105641,HEARTLAND HEALTH CARE CENTER KENDALL,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER KENDALL,FL,120,,112.21,30.63,21.62,0.814,1.095,2.662,4.57,facility_2013.xls
105680,HEARTLAND HEALTH CARE CENTER LAUDERHIL,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HEALTH CARE CENTER LAUDERHIL,FL,109,,,80.95,14.29,0.1795238095238095,0.9214285714285714,2.7185714285714284,3.819523809523809,facil2009new.xls
105680,HEARTLAND HEALTH CARE CENTER LAUDERHIL,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER LAUDERHIL,FL,109,,,80.0,12.38,0.230952380952381,0.895238095238095,2.9790476190476185,4.105238095238095,facil2010new.xls
105680,HEARTLAND HEALTH CARE CENTER LAUDERHILL,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER LAUDERHILL,FL,109,,104.58,75.0,20.37,0.213,0.852,2.675,3.74,facility_2011.xls
105680,HEARTLAND HEALTH CARE CENTER LAUDERHILL,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER LAUDERHILL,FL,109,,102.31,76.19,13.33,0.226,0.885,2.514,3.625,facility_2012.xls
105680,HEARTLAND HEALTH CARE CENTER LAUDERHILL,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER LAUDERHILL,FL,109,,103.32,78.64,17.48,0.234,0.9,2.495,3.629,facility_2013.xls
105684,HEARTLAND HEALTH CARE CENTER JACKSONVI,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HEALTH CARE CENTER JACKSONVI,FL,120,,,50.93,23.15,0.5291666666666667,1.0583333333333331,3.2273148148148145,4.814814814814815,facil2009new.xls
105684,HEARTLAND HEALTH CARE CENTER JACKSONVI,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER JACKSONVI,FL,120,,,45.0,35.0,0.2,0.9333333333333332,2.6666666666666665,3.8,facil2010new.xls
105684,HEARTLAND HEALTH CARE CENTER JACKSONVILLE,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER JACKSONVILLE,FL,120,,115.63,36.75,39.32,0.274,0.977,2.985,4.236,facility_2011.xls
105684,HEARTLAND HEALTH CARE CENTER JACKSONVILLE,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER JACKSONVILLE,FL,120,,113.22,40.83,39.17,0.426,0.787,2.119,3.332,facility_2012.xls
