ccn_str,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_occupancy_pct,ltcfocus_rn_hprd,ltcfocus_directcare_hprd,baseline_medicaid_share,ltcfocus_medicare_share,baseline_support_years,sample_role,valid_pseudocohorts,analysis_state,facility_name_treatment,treat_year,treated_ever
075243,72.0,1.0,94.2992094017094,0.7733529095574295,4.199323434574263,71.05292181069959,10.287692307692307,,control,3.0,CT,"PIERCE MEMORIAL BAPTIST HOME, INC.",,0
075244,120.0,1.0,93.82995726495727,0.60085202991444,3.7557255736137902,64.05288065843621,12.352542735042736,,control,3.0,CT,AVON HEALTH CENTER,,0
075246,150.0,1.5,88.7633547008547,0.4782222919650291,3.6550172800170544,61.88728395061729,14.66923076923077,,control,3.0,CT,WHITNEY REHABILITATION CARE CENTER,,0
075250,150.0,0.5,89.60008547008547,0.2035244012595886,3.2018088055419662,88.4262962962963,5.435876068376068,,control,3.0,CT,PARKVILLE CARE CENTER,,0
075251,119.42307692307693,2.0,79.1184188034188,0.30774205973476104,3.35285918150024,73.2095061728395,12.116794871794873,,control,3.0,CT,TOUCHPOINTS AT FARMINGTON,,0
075252,181.24358974358975,5.5,86.01636752136753,0.1549020251866511,2.8628941324909514,92.00559670781894,5.868119658119658,,control,3.0,CT,WESTSIDE CARE CENTER,,0
075253,130.0,2.0,89.47470085470086,0.42733600856475207,3.513250689290346,64.75615226337449,19.84145299145299,,control,3.0,CT,COMPLETE CARE AT HARRINGTON COURT,,0
075257,345.0,3.5,92.9406623931624,0.5427924035755384,3.6925601651949784,79.31786008230452,7.633867521367522,,control,3.0,CT,"Riverside Health Care Center, Inc.",,0
075258,90.0,1.0,92.21782051282052,0.480882813510495,3.8560786966832845,52.928909465020574,16.7841452991453,,control,3.0,CT,DOUGLAS MANOR,,0
075261,130.0,2.5,93.36222222222221,0.34547235389995007,3.6007856561245353,70.49831275720165,11.751068376068377,,control,3.0,CT,REGENCY HOUSE NURSING AND REHABILITATION CENTER,,0
075263,172.92735042735043,4.0,86.86235042735044,0.2751615548489963,3.4591324204454805,80.78584362139917,7.736388888888889,,control,3.0,CT,AUTUMN LAKE HEALTHCARE AT CROMWELL,,0
075264,150.0,1.5,94.48940170940172,0.28593055064214445,3.0551643544814118,89.71427983539094,7.481175213675215,,control,3.0,CT,TOUCHPOINTS AT BLOOMFIELD,,0
