treated_ccn,control_ccn,analysis_state,match_rank,distance
455599,675857,TX,2,0.006040058484400486
455599,675081,TX,3,0.006882112221793087
675395,675391,TX,1,4.0585784040618553e-05
675395,676173,TX,2,9.99003911390209e-05
675395,676339,TX,3,0.00010416549091608819
676258,676008,TX,1,0.000770438312378656
676258,455832,TX,2,0.003658902584900134
676258,455455,TX,3,0.0036589491386661566
495019,495273,VA,1,0.01486070104123978
495019,495071,VA,2,0.0291016305147397
495019,495362,VA,3,0.035679651859187714
495268,495131,VA,1,0.0005956439520872908
495268,495348,VA,2,0.0007987918723867775
495268,495318,VA,3,0.001310467166173189
495272,495121,VA,1,0.01060647763339867
495272,495068,VA,2,0.011880742533627447
495272,495135,VA,3,0.011919675124134818
